Strain,Time,DO
INPER918,1,0.448
INPER918,2,0.818
INPER918,3,1.058
INPER918,4,1.206
INPER918,5,1.31
INPER918,6,1.39
INPER918,7,1.458
INPER918,8,1.518
INPER918,9,1.577
INPER918,10,1.635
INPER918,11,1.672
INPER918,12,1.707
INPER918,13,1.767
INPER918,14,1.813
INPER918,15,1.865
INPER918,16,1.891
INPER918,17,1.902
INPER918,18,1.901
INPER918,19,1.911
INPER918,20,1.908
INPER918,21,1.913
INPER918,22,1.899
INPER918,23,1.902
INPER918m,1,0.421
INPER918m,2,0.715
INPER918m,3,0.902
INPER918m,4,1.039
INPER918m,5,1.138
INPER918m,6,1.225
INPER918m,7,1.289
INPER918m,8,1.356
INPER918m,9,1.418
INPER918m,10,1.478
INPER918m,11,1.517
INPER918m,12,1.563
INPER918m,13,1.62
INPER918m,14,1.671
INPER918m,15,1.705
INPER918m,16,1.754
INPER918m,17,1.799
INPER918m,18,1.823
INPER918m,19,1.836
INPER918m,20,1.835
INPER918m,21,1.838
INPER918m,22,1.85
INPER918m,23,1.837
